job_title;company_name;location;job_type;experience_level;education_req;salary_range;job_requirements;job_responsibilities;posted_date;source_platform
Admin Payroll;PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;2 Tahun;S1;Tidak dicantumkan;"- 	Pendidikan min S1 
 
- 	Berpengalaman dibidang Payroll atau Administrasi personalia minimal 1 tahun
 
- 	Disiplin, teliti, serta mampu bekerja mandiri maupun dalam tim
 
- 	Penempatan di Kuningan, Jakarta Selatan";"- 	Bertanggung jawab database karyawan
 
- 	Bertanggung jawab payroll area";2026-05-12;Karir.com
Sales Canvasser (Palembang);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;SMA;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang membutuhkan Sales Canvasser.;2026-05-12;Karir.com
Telesales Perbankan;PT Bina Talenta;Prov. Banten;Tidak Disebutkan;1 Tahun;SMA;Rp 5.200.000 - Rp 5.250.000;"Wanita / Pria
 Usia maks. 35 Tahun
 Pendidikan Min. SMA
 Menyukai dan terbiasa bekerja Target (diutamakan)
 Memiliki pengalaman sebagai Telemarketing Komunikatif
 Lokasi kerja : Bintaro - Tangsel Benefit :
 Basic Salalry (UMK sesusai penempatan)
 Allowance
 BPJS
 THR
 Insentive";"Menghubungi calon pelanggan baru dan pelanggan lama untuk memberitahukan mereka mengenai produk dan layanan perusahaan menggunakan naskah yang sudah disiapkan
 Menjawab pertanyaan seputar produk dan perusahaan
 Mencari tahu kebutuhan pelanggan melalui pertanyaan-pertanyaan untuk menutup penjualan
 Menginput dan mengupdate data-data pelanggan ke dalam database
 Menerima dan memproses pesanan yang masuk dengan cara-cara yang tepat
 Mengerjakan sesuatu dengan usaha lebih demi mencapai kuota penjualan dan memfasilitasi penjualan di masa mendatang";2026-05-12;Karir.com
External Talent Senior Analyst;PT Bina Talenta;Prov. DKI-Jakarta;Tidak Disebutkan;5 Tahun;S1;Rp 10.000.000 - Rp 11.500.000;Bachelor’s degree with project management experience Minimum 5 years’ experience in IT consulting/service management or strategic sourcing Familiar with Consulting Industry and Technology Recruitment Framework At least 2 years’ experience in contract drafting and knowledge of Statement of Work (SOW) At least 3 years’ experience in negotiations (commercial and contractual) Knowledge of local regulations, legal terminology and language related to supplier and/or vendor agreements and contracts Skills Excellent communication skills, problem solving, analytical and organisation skills Familiar with procurement and sourcing technical terminology Data analytics, with the ability to draw conclusions and determine trends to present recommendations on actions Adaptable and comfortable working with ambiguity in a global matrix organisation Possess the desire and drive to succeed in fast pace and highly competitive environment. Prefer able to speak in Thai language.;"Gather market intelligence to support staffing services
 Build knowledge and manage SOW/contingent labour suppliers and services to comply with company process and policies 
 To support Category Leads in developing supplier strategies to support business teams including market landscapes of roles/skills, different engagement models, diversity focus, innovative plans and etc.
 Partner with key business stakeholders and leadership to understand and establish category requirements, development of sourcing strategy that meet the needs of the organization, while providing synergy in process and savings.
 Leading all sourcing activities such as the request for proposal process, negotiating with suppliers, vendor selection, contract creation, baseline and cost savings validation, and strategy execution aligned to Company process and policies
 Execute SRM activities, including issues management., supplier performance management business review preparation and actions 
 Manage and execute External Talent Priorities in the country
 Manage suppliers’ escalation issues and seek resolutions aligned with stakeholders, including Cx team Work closely with Cx teams to drive supplier chain excellence.";2026-05-12;Karir.com
Sales Manager Assistant;PT Bina Talenta;Prov. Banten;Tidak Disebutkan;1 Tahun;S1, D3;Rp 5.200.000 - Rp 5.247.870;"Min. D3 segala jurusan Single Memiliki pengalaman baik sebagai telemarketing dan business development, min. 1 tahun. Mampu bekerja dibawah tekanan
 Proaktif dan bertanggung jawab
 Memiliki kemampuan komunikasi dan negosiasi yg baik Prefer domisili Bintaro & sekitarnya.";Bertanggung jawab dalam tugas administratif departemen sales seperti pembuatan proposal, invoice, perjanjian kerja sama dengan customer sampai penagihan atau collection Menawarkan dan menjual produk HR Online ke perusahaan-perusahaan (B2B), melalui telepon atau email [Telemarketing].;2026-05-12;Karir.com
Administrasi Perbankan;PT Bina Talenta;Prov. Banten;Tidak Disebutkan;1 Tahun;S1;Rp 4.974.392 - Rp 5.247.870;"Wanita
 Usia maks. 27 Tahun Good looking Fresh Graduate / pengalaman sebagai Administrasi Bank
 Pendidikan minimal S1 segala jurusan Dapat memahami dan menjalankan fungsi microsoft office dengan baik (terutama rumus Ms. Excel seperti Vlook up, Pivot Table)
 Memiliki kemampuan komunikasi yang baik
 Memiliki kemampuan administratif yang baik
 Memiliki etos kerja yang baik
 Lokasi kerja : Bintaro - Tangsel";"Melakukan input data
 Mengolah data menggunakan MS Office
 Melakukan proses administrasi dokumen
 Membuat report harian/mingguan/bulanan";2026-05-12;Karir.com
Quality Assurance (Tester Aplikasi);PT Bina Talenta;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1;Tidak dicantumkan;"Bachelor’s Degree in Computer Science / Information System/ Engineering At least 1–2 years of experience in Quality Assurance with a strong focus on manual testing. Proven ability to design, write, and execute comprehensive test plans and test cases from requirements and user stories.
 Experience with API testing tools (e.g., Postman, Insomnia), programming languages Java, C# and basic SQL knowledge for data validation. Familiarity with Agile development methodologies and experience in collaborating with cross-functional teams.
 Strong problem-solving and critical thinking skills, with the ability to identify and troubleshoot complex issues.
 Excellent communication and interpersonal skills to effectively collaborate with stakeholders and team members.";"Design, develop, and execute detailed and structured manual test plans, test cases, and test scenarios for both frontend (web/mobile applications) and backend (APIs, services, databases) systems.
 Collaborating with cross-functional teams to define and prioritise testing requirements and strategies.
 Perform various types of manual testing including functional, regression, integration, smoke, and user acceptance testing (UAT).
 Identify, document, track, and manage defects with clear steps, evidence, and severity levels using bug tracking tools.
 Validate bug fixes and perform regression testing to ensure resolution and prevent new issues.
 Analysing test results and providing detailed reports to stakeholders.
 Continuously researching and implementing best practices in software testing to enhance our quality assurance processes.
 Mentoring and training junior team members to improve their testing skills and knowledge";2026-05-12;Karir.com
STAFF AKUNTING KEUANGAN & PAJAK;PT GARUDA LOGISTICS;Jakarta Barat;Tidak Disebutkan;2 Tahun;S1, D3, SMA;Tidak dicantumkan;Minimal menguasai M Word dan M Excel, paham teori dasar-dasar Akuntansi. Mampu menggunakan software akunting lebih diutamakan (khususnya Accurate) Mampu menyusun Laporan Keuangan Paham perihal ketentuan pajak pph dan ppn., serta pengalama praktek di Coretax.;"1. Cek input Job/Project dan kontrol (secara manual excel & Accurate) 
 2. Membuat /input Voucher dalam Accurate (sesuai lampiran pendukungnya) 
 3. Cross check laporan Penjualan & laporan Job 
 4. Mengumpulkan, memeriksa kelengkapan dokumen/ bukti pendukung kelengkapan data Job/Project dari Pengurus Admin Operasional, merekap sebagai Laporan kontrol kelengkapan dokumen pendukung (softcopy & hardcopy) , mampu melaksanakan Follow-Up rutin untuk kelengkapan tersebut kepada Pengurus bersangkutan. 
 5. Kontrol tanggal kirim dan terima invoice dalam laporan Job & Follow-Up pengembalian Tanda Terima Tagihan dari Customer & Filling 
 6. Follow-Up penagihan Piutang Customer. 
 7. Menginput Sales Receipt dalam Accurate & cek sesuai bukti kelengkapan pelunasan pembayaran
 8. Follow-Up dokumen pajak (bukti potong, faktur pajak dsb) 
 9. Menyusun Laporan-laporan pendukung keperluan Akunting dan Pajak
 10. Filling (filling softcopy & filling hardcopy) dokumen-dokumen kelengkapan Akunting Keuangan & Pajak, Follow-Up jika ada kekurangan dokumen.
 11. Punya pengetahuan perpajakan sekitar keperluan serta pelaporan pph dan ppn (punya pengalaman terjun dalam penggunaan CORETAX.";2026-05-11;Karir.com
Admin;Perusahaan dirahasiakan;Jakarta Pusat;Tidak Disebutkan;1 Tahun;D3, SMA;Rp 3.000.000 - Rp 4.000.000;Mahir menggunakan Microsoft Excel dan Word, sedikit mengerti teknologi Teliti dan rapi dalam bekerja, Komunikasi baik, Mampu bekerja individu maupun tim, Disiplin dan bertanggung jawab,Cepat belajar & Mampu mengatur waktu dengan baik;bertugas menginput dan mengelola data, mengarsipkan dokumen, menangani email serta pekerjaan administrasi sederhana, dan membantu kebutuhan operasional kantor sehari-hari. Dalam menjalankan tugasnya, admin bertanggung jawab untuk bekerja dengan teliti dan rapi, menyelesaikan pekerjaan tepat waktu, menjaga kerahasiaan data, serta memiliki komunikasi yang baik dengan tim maupun atasan.;2026-05-11;Karir.com
Management Trainee - PRUDENTIAL;PT Buru Promo Indonesia;Jakarta Barat;Tidak Disebutkan;1 Tahun;S1, D3;Rp 6.000.000 - Rp 10.000.000;"Pendidikan S1
 Domisili Jakarta - Tangerang Pengalaman kerja minimal 1 tahun Skill komunikasi yang baik
 Skill berorganisasi yang baik Usia 23-35 tahun";"JOB DESCRIPTION : MARKETING BUSINESS DEVELOPMENT TEAM BUILDING TRAINING AND DEVELOPMENT WORK HOURS: FLEXIBLE BENEFITS: BIG INCOME BIG BONUS PASSIVE INCOME IN 5 YEARS Industri Life Insurance bukan sekadar pekerjaan, ini adalah kendaraan menuju gaya hidup yang kamu impikan:
 
- ​💰 Financial Freedom: Income yang berbanding lurus dengan kerja kerasmu. Nggak perlu nunggu naik jabatan setahun sekali.
 
- ​⏰ Time Freedom: Kamu bosnya. Atur jadwal meeting sambil nemenin anak, hobi, atau traveling tanpa perlu drama pengajuan cuti.
 
- ​📈 Personal Growth: Training eksklusif dan networking dengan orang-orang hebat.
 ​Kami sedang mencari individu ambisius untuk bergabung sebagai Insurance Entrepreneur and Advisor.
 ​Syarat: * Usia 23-35 tahun.
 
- ​Punya mimpi besar & Growth Mindset.
 
- ​Suka bertemu orang baru.
 ​Jangan cuma jadi penonton kesuksesan orang lain. Apply sekarang!
 Untuk teman-teman yang baru lulus kuliah, ini adalah kesempatan untuk memulai karir dengan potensi income yang besar. 
 Mari bergabung dengan komunitas yang edukatif dan positif. Komunitas yang saling membangun dan menguatkan.";2026-05-07;Karir.com
